id;name;start_date;end_date;event_type
1;Tuna integrated deposit;2023-01-20T09:10:56;2023-01-20T10:55:20;CERTIFICATE
2;SAS Missouri deposit;2023-01-20T17:49:15;2023-01-20T06:44:50;CERTIFICATE
3;generating;2023-01-20T02:15:10;2023-01-20T11:03:55;CERTIFICATE
4;Shoes;2023-01-20T08:43:27;2023-01-20T06:26:08;DISCORD
5;24/7 data-warehouse;2023-01-20T07:40:39;2023-01-20T12:59:59;CERTIFICATE
6;Chicken Paradigm;2023-01-19T21:57:45;2023-01-19T22:07:32;TWITTER
7;connecting;2023-01-20T01:29:45;2023-01-20T19:21:23;CERTIFICATE
8;Bedfordshire hack portals;2023-01-20T17:41:49;2023-01-20T18:11:23;CERTIFICATE
9;Louisiana quantify;2023-01-20T13:03:04;2023-01-20T12:49:17;DISCORD
10;discrete;2023-01-19T21:27:05;2023-01-19T21:04:11;TWITTER
