id;intro_text;have_gateway_door;gwy_door_1;gwy_door_2;gwy_door_3;gwy_door_4;gwy_door_5;gwy_door_6
1;Car;true;98208;53348;60491;91154;64571;24793
2;Focused Fresh magenta;false;40817;46710;63353;83958;75973;51588
3;Guinea Steel;false;61657;7918;18009;77443;29687;93217
4;task-force Taiwan Unbranded;false;73293;35854;73266;92819;97068;26315
5;Turnpike Account turquoise;false;40657;58391;53572;51804;81260;55483
6;Baby;false;66738;22142;9252;70124;6932;67778
7;high-level;true;75178;96367;20586;35053;45146;81625
8;Regional;false;91672;20541;15593;24466;40292;25423
9;Granite Bulgarian;true;64879;96814;51322;142;53668;75711
10;Rubber digital;false;53501;10416;18817;26413;85510;40660
