id;room_1;room_2;room_3;room_4;room_5;room_6;room_7;room_8;room_9;room_10;room_11;room_12;room_13;room_14;room_15;room_16;room_17;room_18;room_19;room_20;room_21;room_22;room_23;room_24;room_25;room_26;room_27;room_28;room_29;room_30;room_31;room_32;room_33;room_34;room_35
1;6895;83173;96529;86885;24790;42301;47281;73653;24883;34587;30331;95680;85710;9362;41744;18085;96949;56510;51895;30433;79929;2588;42104;65961;53312;79057;47052;52242;70747;60055;18663;8038;47309;41956;53797
2;14872;9336;2993;59048;93056;88996;18780;80093;57198;1859;65695;33198;80642;61358;18398;64764;91119;49187;43897;10178;54044;64367;4933;22394;50924;59232;94130;29911;72768;57807;34030;7017;78982;54904;9841
3;36709;19034;79526;79932;40579;31122;5050;21002;50172;80798;72862;86575;48126;70715;38042;94265;95743;5396;73084;33329;45777;73012;26532;71299;85822;67678;41865;14642;39422;40217;61511;73482;11961;26380;11098
4;97801;55391;49447;31983;62699;60146;27012;94915;15591;5236;82252;72777;93002;76747;17911;8207;29516;81184;9161;35342;56263;88831;90886;52715;55365;25881;41706;62356;28683;46394;52753;20685;4139;49272;33314
5;44145;79188;52863;77858;69513;4665;12181;50611;18121;54274;40578;62121;91810;96684;33344;61936;50233;62328;22996;7491;36780;29520;77273;34640;66265;342;16291;26644;70515;7307;15611;25551;82921;2687;86145
6;65555;51522;64540;94393;66996;22392;40971;86538;11410;87150;76865;2400;34365;16537;6039;82265;35113;92046;74454;82903;50304;76252;72792;67899;36234;78067;68500;73771;93706;72808;39637;99324;60733;98109;84936
7;66131;85406;55446;52357;73695;27104;2261;11915;92158;77166;64625;1183;61013;64440;80804;3832;5471;12467;36410;79589;16325;40879;59107;99683;44451;19969;44686;36488;21172;64537;12441;33166;26750;29822;15624
8;84960;30655;56269;35380;54098;94633;27784;16765;52896;80960;97155;73214;87192;36362;31527;58319;25624;72224;83894;64049;18381;90936;73034;30738;79265;60591;42865;47974;73426;82574;91288;62921;35761;99451;50885
9;72173;40720;84146;2379;9523;9461;566;80900;15689;73049;52850;99150;71566;93881;21214;84572;8905;54988;80730;37763;7819;88448;941;3516;43979;59644;45763;39332;75058;48177;48686;58668;75414;78753;9320
10;72979;90792;62551;49801;66269;43014;76613;24961;7559;99771;49761;35765;93059;95863;79391;53474;60767;7188;45236;37890;66141;83175;23944;58515;36176;30331;91716;77797;10672;59598;21492;89770;97451;91284;59774
